ID,earn,height,sex,race,ed,age
1,79571.29901,73.89,male,white,16,49
2,96396.98864,66.23,female,white,16,62
3,48710.66695,63.77,female,white,16,33
4,80478.09615,63.22,female,other,16,95
5,82089.3455,63.08,female,white,17,43
6,15313.3529,64.53,female,white,15,30
7,47104.17182,61.54,female,white,12,53
8,50960.05428,73.29,male,white,17,50
9,3212.649556,72.24,male,hispanic,15,25
10,42996.63788,72.4,male,white,12,30
11,10328.61884,70.22,male,white,16,69
12,1002.307155,63.15,female,white,14,54
13,47597.81986,68.11,male,white,11,38
14,19019.5423,68.08,male,white,12,31
15,20063.99664,64.86,female,white,12,55
16,992.8323463,60.06,female,white,12,31
17,35972.17112,66.01,female,white,16,39
18,26930.54396,68.07,male,white,12,62
19,64602.06397,68.16,female,white,14,33
20,69993.69307,70.02,male,white,13,48
21,1000.218306,67.08,female,white,9,25
22,12131.82212,64.2,female,black,12,59
23,84223.39792,72.76,male,black,13,39
24,8949.474935,62.17,female,white,13,55
25,23278.32328,63.04,female,white,14,25
26,8750.139185,66.67,male,white,14,26
27,64593.59981,65.95,female,white,12,45
28,54079.81495,71.69,male,white,12,49
29,16896.10004,62.76,female,black,12,39
30,-95.71027923,68.46,male,white,11,25
31,43938.8576,64.07,female,white,16,64
32,1004.095614,60,female,white,12,48
33,79478.04682,71.97,male,white,16,42
34,984.7618133,68.25,female,white,12,59
35,65237.77005,76.68,male,white,16,37
36,978.8720908,63.77,female,white,10,23
37,24845.42859,63.96,female,white,14,29
38,40754.10297,63.72,female,white,12,37
39,119251.0551,71.92,male,white,17,43
40,42933.01226,68.12,male,white,17,35
41,20088.31146,64.48,female,white,12,30
42,12924.224,60.94,female,white,14,82
43,48693.4798,67.19,female,black,14,35
44,34383.10185,65.05,female,white,12,61
45,43928.41983,64.17,female,white,14,30
46,5782.248948,66.49,female,white,15,69
47,40758.55772,65.58,female,white,12,34
48,39162.87545,64.93,female,white,12,45
49,51896.84667,67.02,female,white,18,33
50,16905.14086,67.49,female,white,17,34
51,1000.991111,70.03,female,white,12,61
52,18497.85389,60.61,female,hispanic,12,25
53,30740.47804,64.92,female,white,13,36
54,32803.44269,62,female,white,12,33
55,5529.471498,72.16,male,white,10,22
56,20594.71121,66.35,male,black,8,60
57,39816.5002,70.09,male,white,12,69
58,33327.59878,70.05,male,white,17,45
59,55067.79312,68.49,female,white,17,53
60,10545.45025,60.13,female,white,12,69
61,26979.29767,71.15,male,white,12,32
62,55634.16968,70.77,male,white,12,36
63,6380.091481,72.87,male,white,13,22
64,23264.37419,68,female,white,14,59
65,16918.21892,65.64,female,white,12,61
66,39676.2645,68.74,male,white,16,33
67,994.1335039,63.02,female,white,8,67
68,26420.83225,62.8,female,white,14,31
69,986.4492911,65.99,female,black,13,34
70,986.9936276,64.66,female,white,12,30
71,25550.75591,62.04,male,hispanic,14,32
72,27235.26802,64.24,female,white,14,47
73,7354.053632,63.82,female,white,9,72
74,7101.324159,66.95,female,white,9,56
75,35041.7055,71.28,male,white,12,43
76,1318.875553,59.63,female,white,16,57
77,42343.34397,66.34,female,white,16,31
78,4985.246016,66,female,white,15,25
79,28022.63867,65.49,female,white,14,43
80,13729.67202,69.96,female,white,13,26
81,991.5999663,64.79,female,white,13,67
82,20074.77298,66.35,female,white,13,72
83,16901.65588,62.09,female,white,12,51
84,16899.21842,65.83,female,white,15,71
85,999.3380971,63.78,female,white,14,42
86,23831.53165,71.81,male,white,12,43
87,4812.715281,67.12,female,hispanic,8,43
88,47742.12527,68.19,male,hispanic,12,36
89,47655.59072,69.76,male,white,12,37
90,16892.6857,61.91,female,white,12,42
91,8934.46253,63.29,female,white,13,30
92,20099.92184,65.48,female,white,13,67
93,32803.30259,69.75,female,white,10,65
94,32811.86237,68.09,female,white,12,40
95,31765.89678,70.21,male,white,14,27
96,1001.000439,65.99,female,white,12,63
97,2907.206417,66.23,female,white,12,24
98,2115.675897,67.79,female,white,16,36
99,31884.90924,69.94,male,white,16,31
100,16905.02208,60.75,female,hispanic,12,26
101,48686.33523,62.9,female,white,12,77
102,64606.32352,63.47,female,white,14,60
103,39751.19403,67.14,male,white,12,93
104,16881.71416,60.66,female,white,17,83
105,96382.89009,69.55,female,white,18,67
106,986.2286138,63.46,female,white,12,25
107,29618.82512,67.83,female,white,12,70
108,26500.24296,64.39,female,white,12,37
109,24854.97274,67.01,female,black,14,34
110,15885.51951,68.79,male,white,17,27
111,53463.62235,67.05,female,white,13,47
112,29627.8222,67.83,female,white,12,34
113,24843.17486,63.03,female,white,12,41
